01:56:31.187  INFO  tests.TestBase             ############### Start  test loginNegativeTestWrongEmail
01:56:31.189  INFO  manager.MyListener  Start searching element by By.xpath: //a[.=' Logout ']
01:56:41.244  INFO  manager.MyListener  The element with locator by By.xpath: //a[.=' Logout '] is found successfully
01:56:41.245  INFO  manager.MyListener  Start searching element by By.xpath: //a[.=' Log in ']
01:56:41.263  INFO  manager.MyListener  The element with locator by By.xpath: //a[.=' Log in '] is found successfully
01:56:41.330  INFO  manager.MyListener  Start searching element by By.id: email
01:56:41.353  INFO  manager.MyListener  The element with locator by By.id: email is found successfully
01:56:41.480  INFO  manager.MyListener  Start searching element by By.id: password
01:56:41.492  INFO  manager.MyListener  The element with locator by By.id: password is found successfully
01:56:41.608  INFO  manager.MyListener  Start searching element by By.xpath: //div[.="It'snot look like email"]
01:56:41.635  INFO  manager.MyListener  The element with locator by By.xpath: //div[.="It'snot look like email"] is found successfully
01:56:41.665  INFO  manager.MyListener  Start searching element by By.xpath: //div[.="It'snot look like email"]
01:56:41.675  INFO  manager.MyListener  The element with locator by By.xpath: //div[.="It'snot look like email"] is found successfully
01:56:41.690  INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Ok']
01:56:51.733  INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Ok'] is found successfully
01:56:51.735  INFO  tests.TestBase       ###### Finished  #########
01:56:51.735  INFO  tests.TestBase             ############### Start  test loginPositiveTest
01:56:51.735  INFO  manager.MyListener  Start searching element by By.xpath: //a[.=' Logout ']
01:57:01.754  INFO  manager.MyListener  The element with locator by By.xpath: //a[.=' Logout '] is found successfully
01:57:01.755  INFO  manager.MyListener  Start searching element by By.xpath: //a[.=' Log in ']
01:57:01.771  INFO  manager.MyListener  The element with locator by By.xpath: //a[.=' Log in '] is found successfully
01:57:01.805  INFO  manager.MyListener  Start searching element by By.id: email
01:57:01.813  INFO  manager.MyListener  The element with locator by By.id: email is found successfully
01:57:01.941  INFO  manager.MyListener  Start searching element by By.id: password
01:57:01.955  INFO  manager.MyListener  The element with locator by By.id: password is found successfully
01:57:02.063  INFO  manager.MyListener  Start searching element by By.cssSelector: [type='submit']
01:57:02.086  INFO  manager.MyListener  The element with locator by By.cssSelector: [type='submit'] is found successfully
01:57:02.104  INFO  manager.MyListener  Start searching element by By.xpath: //h2[.='Logged in success']
01:57:03.043  INFO  manager.MyListener  The element with locator by By.xpath: //h2[.='Logged in success'] is found successfully
01:57:03.609  INFO  manager.MyListener  Start searching element by By.xpath: //h2[.='Logged in success']
01:57:03.632  INFO  manager.MyListener  The element with locator by By.xpath: //h2[.='Logged in success'] is found successfully
01:57:03.657  INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Ok']
01:57:03.673  INFO  manager.MyListener  The element with locator by By.xpath: //button[.='Ok'] is found successfully
01:57:03.674  INFO  manager.MyListener  Start searching element by By.xpath: //button[.='Ok']
